,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
288,2019070912,果冻/布丁,来伊份,QQ冻,3444,味道,87.29,124,41,0,2,43,0.9534883720930233,89
815,2019070912,果冻/布丁,喜之郎,香橙味果冻90克,3447,性价比,97.3,6,81,4,0,85,0.9529411764705882,17
954,2019070912,果冻/布丁,懒人爱,酵素果冻2盒装,3448,功能,91.59,57,121,0,6,127,0.952755905511811,59
683,2019070912,果冻/布丁,three squirrels/三只松鼠,牛奶冻,3443,包装,94.25,54,745,2,35,782,0.9526854219948849,101
645,2019070912,果冻/布丁,喜之郎,果冻条,3445,质量,82.97,126,20,0,1,21,0.9523809523809523,114
855,2019070912,果冻/布丁,喜之郎,CICI258毫升,3443,包装,82.84,142,20,0,1,21,0.9523809523809523,102
614,2019070912,果冻/布丁,梦雨果,MYGJSGD012,3448,功能,82.18,73,20,0,1,21,0.9523809523809523,60
732,2019070912,果冻/布丁,忘不了,果板果冻,3445,质量,82.84,128,20,0,1,21,0.9523809523809523,115
708,2019070912,果冻/布丁,喜之郎,果冻90G*30 整箱,3443,包装,91.47,89,120,0,6,126,0.9523809523809523,103
659,2019070912,果冻/布丁,萌萌星,酸奶布丁,3445,质量,82.97,127,20,0,1,21,0.9523809523809523,116
109,2019070912,果冻/布丁,bocca/牧家,规格: 布丁,3443,包装,82.97,141,20,0,1,21,0.9523809523809523,104
934,2019070912,果冻/布丁,xtaml,玫瑰果冻,3443,包装,82.97,140,20,0,1,21,0.9523809523809523,105
894,2019070912,果冻/布丁,munwaving/美飘飘,酵素果冻盒装,3447,性价比,98.51,2,372,17,2,391,0.9514066496163683,18
177,2019070912,果冻/布丁,优洽,酵素果冻,3448,功能,94.5,43,1071,5,50,1126,0.9511545293072824,61
651,2019070912,果冻/布丁,larbee/蜡笔小新,2.1KG果冻,3455,分量,92.66,2,173,1,8,182,0.9505494505494505,6
115,2019070912,果冻/布丁,larbee/蜡笔小新,鲜Q果冻爽150G*8包,3447,性价比,94.91,19,230,5,7,242,0.9504132231404959,19
215,2019070912,果冻/布丁,樱桃小丸子,樱桃小丸子,3443,包装,94.21,55,401,4,17,422,0.9502369668246445,106
256,2019070912,果冻/布丁,call me queen/叫我女王,胶原蛋白/洛神花/燕窝果冻,3447,性价比,95.1,16,190,5,5,200,0.95,20
939,2019070912,果冻/布丁,都乐梦,椰子冻,3444,味道,94.44,42,38,2,0,40,0.95,90
493,2019070912,果冻/布丁,花匙,洛神花酵素果冻,3444,味道,92.63,63,57,2,1,60,0.95,91
579,2019070912,果冻/布丁,御食园,果冻爽,3453,果肉,90.65,2,38,1,1,40,0.95,4
39,2019070912,果冻/布丁,sx/世熙堂,酵素果冻,3443,包装,92.0,84,113,1,5,119,0.9495798319327731,107
868,2019070912,果冻/布丁,秀尔魅,酵素果冻蓝莓味道,3443,包装,91.68,88,94,1,4,99,0.9494949494949495,108
359,2019070912,果冻/布丁,tarami,蒟蒻组合,3443,包装,91.39,90,75,1,3,79,0.9493670886075949,109
154,2019070912,果冻/布丁,喜之郎,乳酸果冻360G*5袋,3444,味道,88.64,107,56,0,3,59,0.9491525423728814,92
260,2019070912,果冻/布丁,call me queen/叫我女王,胶原蛋白/洛神花/燕窝果冻,3451,排毒效果,89.73,5,74,0,4,78,0.9487179487179487,5
588,2019070912,果冻/布丁,良品铺子,椰果布丁720G,3446,口感,88.45,57,55,0,3,58,0.9482758620689655,59
82,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻,3443,包装,88.39,109,54,0,3,57,0.9473684210526315,110
