,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
516,50006219,电钻,福瑞德,12双速锂电钻,201909,59.4,10256,113,685365.9900000001,215,79.43,207.0,268,2,18,288,0.9305555555555556,330
548,50006219,电钻,科麦斯,超强冲击钻,201909,166.8,1373,347,227594.39999999997,359,78.76,221.0,254,1,18,273,0.9304029304029304,331
106,50006219,电钻,devon/大有,5241,201909,275.52,5560,171,1704202.93,113,74.96,278.0,133,2,8,143,0.9300699300699301,332
329,50006219,电钻,佛兰仕,FLS54,201909,103.73,146997,11,17488753.41,12,88.23,57.0,7939,42,559,8540,0.9296252927400468,333
186,50006219,电钻,hilda/希尔达,ID406,201909,81.6,2818,234,231606.0,357,79.64,202.0,211,1,15,227,0.9295154185022027,334
280,50006219,电钻,worx/威克士,WU185,201909,817.05,327,536,286795.6500000001,326,57.15,539.0,13,0,1,14,0.9285714285714286,335
559,50006219,电钻,美耐特,J1Z-BH-10B,201909,113.99,2621,245,292289.41,322,59.82,511.0,26,0,2,28,0.9285714285714286,336
261,50006219,电钻,tenwa,DR-D06,201909,333.6,126,597,43692.49999999998,548,50.66,584.0,13,0,1,14,0.9285714285714286,337
21,50006219,电钻,boda/博大,J0Z-KP06-10S,201909,211.29,4872,187,1038911.9700000001,165,79.33,208.0,117,0,9,126,0.9285714285714286,338
83,50006219,电钻,bosch/博世,博世12V/10.8V充电钻,201909,416.46,12712,100,5412544.66,48,84.52,117.0,685,3,50,738,0.9281842818428184,339
537,50006219,电钻,科麦斯,25V,201909,294.9,4808,188,1351849.6699999997,135,79.47,205.0,425,5,28,458,0.9279475982532751,340
637,50006219,电钻,龙韵,LY6186,201909,75.9,10710,110,963557.0499999999,171,80.56,187.0,526,1,40,567,0.927689594356261,341
463,50006219,电钻,戈麦斯,25V锂电钻,201909,123.76,3843,208,642177.65,221,81.87,168.0,461,1,35,497,0.9275653923541247,342
535,50006219,电钻,科麦斯,12V，16.8V，25V,201909,222.38,5955,163,1352360.4099999997,134,86.44,86.0,915,6,66,987,0.9270516717325228,343
388,50006219,电钻,哈博,电钻,201909,203.2,1767,302,366255.36,282,85.46,101.0,176,0,14,190,0.9263157894736842,344
561,50006219,电钻,美耐特,MNT-070680-1,201909,157.2,5953,164,807569.4199999998,192,68.25,390.0,75,1,5,81,0.9259259259259259,345
209,50006219,电钻,laoa/老a,LA415010,201909,188.4,467,503,82056.29,499,66.37,427.0,25,0,2,27,0.9259259259259259,346
239,50006219,电钻,rhea tool/雷亚,21V,201909,141.6,1040,383,188492.50999999998,384,60.26,506.0,25,0,2,27,0.9259259259259259,347
64,50006219,电钻,bosch/博世,GSB180-LI,201909,706.8,3178,222,2459233.09,86,70.74,356.0,124,3,7,134,0.9253731343283582,348
126,50006219,电钻,dongcheng/东成,01301110170,201909,258.08,2416,256,610233.4099999999,229,63.0,475.0,37,0,3,40,0.925,349
556,50006219,电钻,精菱,01,201909,57.6,422,514,21045.6,592,88.5,52.0,111,7,2,120,0.925,350
618,50006219,电钻,龙韵,1012,201909,117.3,18641,70,2290729.2199999997,91,83.29,138.0,1241,4,97,1342,0.9247391952309985,351
177,50006219,电钻,guanshi/冠仕,多功能冲击钻,201909,79.87,1014,390,93223.74999999999,484,71.99,335.0,98,0,8,106,0.9245283018867925,352
317,50006219,电钻,乐易,LY5360,201909,285.6,7313,136,2340085.6399999997,89,71.25,347.0,110,0,9,119,0.9243697478991597,353
125,50006219,电钻,dongcheng/东成,01301110070,201909,149.88,12213,103,1924846.47,100,76.81,246.0,329,2,25,356,0.9241573033707865,354
435,50006219,电钻,尚五金,SWJ-LDZ-507,201909,82.8,4077,203,283869.67,328,64.67,454.0,73,0,6,79,0.9240506329113924,355
306,50006219,电钻,ysa/鹰视安,008,201909,38.08,60871,28,3557433.2600000002,66,85.91,99.0,1957,10,152,2119,0.9235488437942425,356
132,50006219,电钻,dongcheng/东成,DCJZ09-10A,201909,185.58,17314,78,5606425.38,47,80.22,195.0,530,3,41,574,0.9233449477351916,357
119,50006219,电钻,dewalt/得伟,DWD012,201909,370.4,380,525,130719.84999999998,443,47.08,601.0,12,0,1,13,0.9230769230769231,358
244,50006219,电钻,ronix/罗尼克斯,8012,201909,202.8,230,567,50215.5,532,66.08,435.0,24,0,2,26,0.9230769230769231,359
129,50006219,电钻,dongcheng/东成,14.4V细手柄,201909,504.2,300,546,154902.95999999996,417,71.98,336.0,12,0,1,13,0.9230769230769231,360
563,50006219,电钻,美耐特,MNT070610,201909,94.39,46593,41,4749650.34,53,78.59,223.0,202,0,17,219,0.9223744292237442,361
616,50006219,电钻,麦时,68VF,201909,46.8,30335,55,1770836.4299999997,110,85.08,111.0,962,9,72,1043,0.9223394055608821,362
551,50006219,电钻,科麦斯,黑豹加强版电钻,201909,224.9,440,509,94969.27,480,80.26,193.0,106,0,9,115,0.9217391304347826,363
225,50006219,电钻,maovon/妙有,10AB,201909,65.52,5930,165,378990.24,279,76.45,253.0,106,6,3,115,0.9217391304347826,364
557,50006219,电钻,美耐特,J1Z-BH-10,201909,173.27,5091,183,633642.84,223,75.09,274.0,94,1,7,102,0.9215686274509803,365
159,50006219,电钻,dongcheng/东成,锂电钻,201909,220.42,1762,303,433298.06999999995,266,66.5,421.0,47,0,4,51,0.9215686274509803,366
53,50006219,电钻,bosch/博世,GBM340,201909,179.84,11482,107,1921329.6400000001,101,84.83,115.0,458,3,36,497,0.9215291750503019,367
234,50006219,电钻,oumecrown/欧美冠,锂电充电电钻,201909,69.6,2782,235,202236.48,377,67.24,406.0,70,0,6,76,0.9210526315789473,368
1,50006219,电钻,agl/安冠龙,HJ12-2,201909,94.8,2927,232,270753.6,336,67.73,397.0,35,0,3,38,0.9210526315789473,369
441,50006219,电钻,巩家文玩,铝合金外壳,201909,46.45,8832,125,622611.5900000002,226,85.01,114.0,280,0,24,304,0.9210526315789473,370
325,50006219,电钻,佛兰仕,FLS-010AB11,201909,62.15,29036,56,2848331.0400000005,77,85.11,108.0,1840,10,148,1998,0.9209209209209209,371
168,50006219,电钻,fogo/富格,200,201909,122.12,5987,161,859842.1300000001,186,81.95,162.0,312,2,25,339,0.9203539823008849,372
344,50006219,电钻,佛兰仕,黑绿锂电钻,201909,58.33,7333,135,432922.76000000007,267,75.28,271.0,332,0,29,361,0.9196675900277008,373
291,50006219,电钻,worx/威克士,WX317.1,201909,225.95,9581,118,2031197.6500000001,97,83.44,135.0,526,4,42,572,0.9195804195804196,374
457,50006219,电钻,戈麦斯,12V.,201909,160.92,17365,76,2255270.520000001,92,78.51,225.0,374,0,33,407,0.918918918918919,375
378,50006219,电钻,吕电,LD-13MM,201909,237.6,1938,288,496055.3000000001,251,51.95,577.0,34,0,3,37,0.918918918918919,376
102,50006219,电钻,devon/大有,5227,201909,193.78,3669,213,1099995.6799999997,154,76.26,257.0,113,1,9,123,0.9186991869918699,377
562,50006219,电钻,美耐特,MNT-070712-1LI/2LI,201909,229.85,4454,194,946184.0199999998,173,66.57,418.0,45,0,4,49,0.9183673469387755,378
568,50006219,电钻,翱翔,LBD,201909,54.0,33153,48,1823958.0,105,80.86,182.0,501,1,44,546,0.9175824175824175,379
19,50006219,电钻,boda/博大,J0Z-KP01-10S,201909,195.35,6653,147,1391814.0,132,82.55,155.0,400,2,34,436,0.9174311926605505,380
367,50006219,电钻,南威,NW-DBW,201909,285.6,515,488,154524.0,418,72.23,330.0,11,0,1,12,0.9166666666666666,381
202,50006219,电钻,ken/锐奇,BL7212,201909,340.8,566,473,216406.27000000002,366,58.45,522.0,33,0,3,36,0.9166666666666666,382
56,50006219,电钻,bosch/博世,GDR 120-LI (双电）,201909,764.56,1270,351,930608.11,175,60.89,499.0,22,1,1,24,0.9166666666666666,383
565,50006219,电钻,翱翔,1132,201909,58.97,3060,227,176581.55,400,63.22,472.0,150,0,14,164,0.9146341463414634,384
190,50006219,电钻,hitachi/日立,DS10DAL,201909,341.89,10438,111,4309267.710000001,55,78.52,224.0,514,2,46,562,0.9145907473309609,385
296,50006219,电钻,x－tron/小强,5241-LI-12S,201909,298.8,1730,306,481304.3400000001,256,59.81,512.0,32,0,3,35,0.9142857142857143,386
461,50006219,电钻,戈麦斯,21V锂电钻,201909,223.28,5220,181,753267.8799999999,198,75.63,267.0,148,2,12,162,0.9135802469135802,387
250,50006219,电钻,solid/塑力,168-08-21V,201909,238.8,1791,300,344178.5999999999,295,68.4,383.0,95,0,9,104,0.9134615384615384,388
494,50006219,电钻,普力捷,CD2211,201909,117.6,468,502,62548.80000000001,517,60.68,501.0,21,0,2,23,0.9130434782608695,389
625,50006219,电钻,龙韵,LV003619,201909,209.62,10138,116,1453162.8400000003,126,80.23,194.0,640,2,59,701,0.912981455064194,390
104,50006219,电钻,devon/大有,5230,201909,434.4,809,423,360434.0199999999,286,66.26,432.0,52,1,4,57,0.9122807017543859,391
534,50006219,电钻,科麦斯,"12V，16.8V,25V",201909,202.8,4134,201,833073.5999999999,189,78.76,220.0,561,4,50,615,0.9121951219512195,392
380,50006219,电钻,启耐,J1Z-MS-13,201909,55.2,21514,65,1188155.6,147,83.5,131.0,727,5,65,797,0.9121706398996235,393
283,50006219,电钻,worx/威克士,WX128,201909,336.88,49562,37,17405280.200000003,13,84.49,118.0,1732,12,155,1899,0.9120589784096893,394
626,50006219,电钻,龙韵,LV008700,201909,166.37,1621,318,286578.12000000005,327,68.37,386.0,62,0,6,68,0.9117647058823529,395
185,50006219,电钻,hg/沪工,512,201909,190.1,3990,205,759248.2699999999,197,80.27,192.0,144,0,14,158,0.9113924050632911,396
333,50006219,电钻,佛兰仕,YR05,201909,59.01,2767,237,184453.32,388,70.92,353.0,51,0,5,56,0.9107142857142857,397
25,50006219,电钻,boda/博大,Z1J-KP08-13,201909,216.71,8338,126,1520939.02,124,81.13,179.0,496,3,46,545,0.9100917431192661,398
523,50006219,电钻,福瑞德,升级款36VF,201909,204.54,17353,77,3713311.96,63,88.18,60.0,1464,2,144,1610,0.9093167701863354,399
453,50006219,电钻,德立士,DLS-T,201909,261.6,509,491,137955.26000000007,436,44.83,618.0,10,0,1,11,0.9090909090909091,400
57,50006219,电钻,bosch/博世,GSB 10 RE 0601216185,201909,389.0,428,511,174320.0,403,50.54,585.0,10,0,1,11,0.9090909090909091,401
180,50006219,电钻,hcc hancuan/韩川,10,201909,65.14,554,477,34250.2,567,51.18,581.0,10,0,1,11,0.9090909090909091,402
275,50006219,电钻,worx/威克士,WU118,201909,231.92,917,404,193824.23,381,61.91,486.0,20,0,2,22,0.9090909090909091,403
437,50006219,电钻,尼奥动力,6971533380003,201909,238.8,214,574,48572.8,535,55.07,556.0,10,0,1,11,0.9090909090909091,404
201,50006219,电钻,ken/锐奇,BL6212CB,201909,167.28,1653,315,470263.7700000001,260,61.16,495.0,20,0,2,22,0.9090909090909091,405
509,50006219,电钻,炯杰,LI20S.LI16S,201909,223.34,1027,388,145227.99999999997,429,60.62,502.0,10,0,1,11,0.9090909090909091,406
0,50006219,电钻,agl/安冠龙,CDZ-8,201909,82.8,115,601,9447.6,615,71.72,342.0,20,0,2,22,0.9090909090909091,407
52,50006219,电钻,bosch/博世,GBM13RE,201909,393.85,10176,114,3881069.8400000003,61,69.45,369.0,150,0,15,165,0.9090909090909091,408
164,50006219,电钻,fogo/富格,100,201909,46.43,1112584,2,74389104.33000001,2,86.06,94.0,11189,231,889,12309,0.9090096677228044,409
348,50006219,电钻,全锋,10A/10E,201909,70.68,16913,80,1848584.5500000003,103,67.63,400.0,109,0,11,120,0.9083333333333333,410
15,50006219,电钻,boda/博大,D1206-10S,201909,155.82,4348,197,903395.13,180,74.49,289.0,89,1,8,98,0.9081632653061225,411
212,50006219,电钻,makita/牧田,330,201909,380.8,3052,228,1468081.57,125,68.98,374.0,108,0,11,119,0.907563025210084,412
55,50006219,电钻,bosch/博世,GBM345/340,201909,170.83,56318,34,9810468.060000006,27,81.57,173.0,754,1,76,831,0.9073405535499398,413
454,50006219,电钻,德立士,无刷电钻,201909,238.8,769,428,183637.2,390,54.15,562.0,29,0,3,32,0.90625,414
403,50006219,电钻,大艺,充电钻,201909,73.44,2450,254,189834.24,383,82.7,150.0,231,6,18,255,0.9058823529411765,415
382,50006219,电钻,和美,HM-12,201909,54.0,69021,24,4192457.339999999,59,81.51,174.0,485,2,49,536,0.9048507462686567,416
419,50006219,电钻,奥奔,AB-7303T,201909,128.74,663,458,96542.84000000001,479,73.74,304.0,19,0,2,21,0.9047619047619048,417
188,50006219,电钻,hitachi/日立,D10VST,201909,225.53,1249,354,273345.17999999993,334,58.25,525.0,38,0,4,42,0.9047619047619048,418
63,50006219,电钻,bosch/博世,GSB180,201909,610.17,8146,128,8330410.39,35,78.03,228.0,199,1,20,220,0.9045454545454545,419
147,50006219,电钻,dongcheng/东成,FF07-10,201909,150.57,22522,62,3660742.74,65,74.52,288.0,350,3,34,387,0.9043927648578811,420
379,50006219,电钻,启牛,775,201909,81.36,1732,305,140915.52,432,73.98,298.0,85,6,3,94,0.9042553191489362,421
81,50006219,电钻,bosch/博世,TSB5500,201909,309.34,32921,49,10323247.22,25,86.74,79.0,1564,8,158,1730,0.9040462427745665,422
331,50006219,电钻,佛兰仕,FOLS-C款,201909,103.98,12390,102,1536649.86,123,77.64,238.0,442,1,46,489,0.9038854805725971,423
222,50006219,电钻,makita/牧田,M6001B,201909,191.86,1903,292,360455.29,285,68.42,381.0,47,0,5,52,0.9038461538461539,424
510,50006219,电钻,炯杰,XLI21S,201909,141.6,316,541,41308.0,555,68.74,379.0,75,0,8,83,0.9036144578313253,425
606,50006219,电钻,雷暴,VDZ40-8,201909,44.91,14799,91,827496.0100000001,191,75.39,269.0,271,3,26,300,0.9033333333333333,426
220,50006219,电钻,makita/牧田,M0600,201909,189.6,4205,199,727705.7699999999,206,73.98,299.0,138,1,14,153,0.9019607843137255,427
640,50006219,电钻,龙韵,ST系列,201909,135.45,78910,21,13128812.41,17,82.15,159.0,2800,23,282,3105,0.9017713365539453,428
376,50006219,电钻,卡瓦尼,锂电钻,201909,98.4,3147,226,354167.09,289,59.9,510.0,55,0,6,61,0.9016393442622951,429
58,50006219,电钻,bosch/博世,GSB 120-LI 06019F3082,201909,547.38,5224,179,3138449.78,72,71.07,349.0,118,0,13,131,0.9007633587786259,430
286,50006219,电钻,worx/威克士,WX128.3,201909,491.42,2747,238,1282837.0099999998,139,79.44,206.0,154,1,16,171,0.9005847953216374,431
492,50006219,电钻,易锐,冲击钻--01,201909,59.3,16243,83,1132181.96,150,81.81,169.0,2041,7,220,2268,0.8999118165784833,432
438,50006219,电钻,尼奥动力,CS37,201909,101.63,2774,236,281379.93,330,74.66,284.0,188,0,21,209,0.8995215311004785,433
515,50006219,电钻,福瑞德,000002,201909,47.86,117933,12,6509082.149999999,42,83.04,142.0,3610,19,386,4015,0.8991282689912827,434
451,50006219,电钻,德立士,02,201909,169.27,8843,124,1601697.1300000001,119,78.95,217.0,204,1,22,227,0.8986784140969163,435
198,50006219,电钻,ken/锐奇,7212,201909,190.8,3976,206,1314050.32,136,79.84,199.0,185,0,21,206,0.8980582524271845,436
167,50006219,电钻,fogo/富格,18A,201909,153.67,6122,157,1120732.54,152,61.45,493.0,140,0,16,156,0.8974358974358975,437
107,50006219,电钻,devon/大有,5262,201909,174.7,6086,158,1623861.1599999997,116,77.13,242.0,131,0,15,146,0.8972602739726028,438
130,50006219,电钻,dongcheng/东成,16冲击钻套装,201909,204.02,2093,273,472396.36,258,70.89,354.0,87,2,8,97,0.8969072164948454,439
138,50006219,电钻,dongcheng/东成,DCJZ21-10,201909,308.16,3165,225,1096228.9,155,66.43,424.0,52,1,5,58,0.896551724137931,440
